municipality,year,civicatlas_status,native_url
Chilmark,2022,discarded_not_results,https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/chilmark_town_report_2024.pdf
Chilmark,2025,discarded_not_results,https://www.chilmarkma.gov/town-clerk/pages/2025-town-elections
Clarksburg,2022,hosted,https://clarksburgma.gov/2022-annual-town-election-results?ref_url_id=14016
Clarksburg,2023,hosted,https://clarksburgma.gov/2023-election-results?ref_url_id=14016
Clarksburg,2025,hosted,https://clarksburgma.gov/2025-town-election-results?ref_url_id=14016
Colrain,2021,discarded_not_results,https://colrain-ma.gov/n/21501/Special-Town-Election-Results-09072021
Conway,2021,discarded_not_results,https://conwayma.gov/files/FY21_Annual_Report.pdf
Conway,2022,discarded_not_results,https://www.conwayma.gov/d/4774/Post-Election-Tally-Session
Conway,2023,discarded_not_results,https://conwayma.gov/files/Annual_Report_Conway_FY23_corrections.pdf
Conway,2024,missing,
Conway,2025,discarded_not_results,https://conwayma.gov/n/2182/2025-Local-Election-Results
Cummington,2022,discarded_not_results,https://cummington-ma.gov/PDFs/TownReportFY2023.pdf
Cummington,2023,discarded_not_results,https://cummington-ma.gov/TownMeet.php?ATM
Cummington,2024,discarded_not_results,https://cummington-ma.gov/PDFs/TownReportFY2024.pdf
Cummington,2025,discarded_not_results,https://cummington-ma.gov/TownMeet.php?TM
Dalton,2025,discarded_not_results,https://dalton-ma.gov/annual-town-election-monday-may-12-2025/
Deerfield,2025,discarded_not_results,https://www.deerfieldma.us/DocumentCenter/View/2758
Douglas,2025,missing,
Dracut,2021,missing,
Dracut,2023,discarded_not_results,https://www.dracutma.gov/DocumentCenter/View/2014/Town-Election-May-6-2023-Official-Results-PDF
Dudley,2021,discarded_not_results,https://www.dudleyma.gov/sitemap
Dunstable,2023,hosted,https://www.dunstable-ma.gov/home/news/official-election-results-tuesday-may-16-2023
East Bridgewater,2021,missing,
East Bridgewater,2023,discarded_not_results,https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/news/skm_450i23051409010.pdf
East Bridgewater,2025,discarded_not_results,
East Brookfield,2021,missing,
East Brookfield,2022,discarded_not_results,https://www.eastbrookfieldma.us/node/2027/news
East Brookfield,2023,discarded_not_results,https://www.eastbrookfieldma.us/town-clerk/news/annual-election-results
East Brookfield,2024,discarded_not_results,https://www.eastbrookfieldma.us/town-clerk/news/official-results-annual-town-election-2024
Edgartown,2022,discarded_not_results,https://www.edgartown-ma.us/departments/selectmen
Edgartown,2023,discarded_not_results,https://www.edgartown-ma.us/home/showpublisheddocument/20230/638170630272000000
Egremont,2021,discarded_not_results,https://www.egremont-ma.gov/DocumentCenter/View/1961
Erving,2022,discarded_not_results,https://www.erving-ma.gov/sites/g/files/vyhlif4401/f/uploads/2022_annual_town_report-_final.pdf
Erving,2023,hosted,https://www.recorder.com/Write-in-candidate-claims-Selectboard-seat-in-Erving-election-50834025
Erving,2025,discarded_not_results,https://www.erving-ma.gov/home/news/2024-annual-town-election-results
Florida,2021,missing,
Florida,2022,missing,
Florida,2023,missing,
Florida,2024,discarded_not_results,https://www.townofflorida.org/
Florida,2025,discarded_not_results,https://www.townofflorida.org/
Foxborough,2023,discarded_not_results,https://www.foxboroughma.gov/departments/town_clerk/election_information/election_results
Georgetown,2021,hosted,http://georgetownma.gov/Document%20Center/Departments/Town%20Clerk/Election%20Results/officialresultsate051021_1.xlsx?t=202308070838400
Georgetown,2022,hosted,http://georgetownma.gov/Document%20Center/Departments/Town%20Clerk/Election%20Results/unofficial_results_0592022.xlsx?t=202308070839370
Gill,2021,discarded_not_results,https://gillmass.org/p/36/Town-Clerk
Gill,2023,hosted,https://www.recorder.com/GillElectionResults051723-50994168
Gill,2025,discarded_not_results,https://www.gillmass.org/d/43449/Annual-Town-Election
Gosnold,2021,missing,
Gosnold,2022,missing,
Gosnold,2023,missing,
Gosnold,2024,missing,
Gosnold,2025,missing,
Granby,2021,discarded_not_results,https://granby-ma.gov/town-clerk/files/annual-town-election-results-2021
Granby,2022,discarded_not_results,https://granby-ma.gov/town-clerk/files/annual-town-election-results-2022
Granby,2023,discarded_not_results,https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/minutes/townelection5.15.23.pdf
Granby,2024,discarded_not_results,https://granby-ma.gov/town-clerk/files/town-election-results-may-2024
Granby,2025,discarded_not_results,https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/news/rec.townelection.5.19.25.pdf
Great Barrington,2021,discarded_not_results,https://www.town.great-barrington.ma.us/departments/town-clerk/elections
Great Barrington,2023,hosted,https://theberkshireedge.com/great-barrington-election-results/
Great Barrington,2025,discarded_not_results,https://www.town.great-barrington.ma.us/departments/town-clerk/elections
Hadley,2025,oversized_deferred,https://www.hadleyma.org/select-board/files/service-delivery-plan-2025
Hampden,2021,discarded_not_results,https://www.hampdenma.gov/DocumentCenter/View/1234/Hampden-General-Bylaws-070225-PDF
Hampden,2022,discarded_not_results,https://hampdenma.gov/DocumentCenter/View/198/Zoning-Bylaws-PDF
Hampden,2023,discarded_not_results,https://www.hampdenma.gov/sites/g/files/vyhlif656/f/uploads/5-15-23_results.pdf
Hampden,2024,discarded_not_results,https://www.hampdenma.gov/
Hancock,2021,discarded_not_results,https://www.quincyma.gov/departments/city_clerk/election/election_results_2005_present.php
Hancock,2022,discarded_not_results,https://www.nytimes.com/interactive/2022/09/06/us/elections/results-massachusetts-attorney-general.html
Hancock,2023,discarded_not_results,https://town.hancock.ma.us/2019/07/31/town-clerk-2/
Hancock,2024,discarded_not_results,https://apps.npr.org/2024-election-results/massachusetts.html
Hanson,2025,discarded_not_results,https://www.hanson-ma.gov/planning-boarddepartment/files/hlc-approved-housing-production-plan-2025
Hardwick,2021,missing,
Hardwick,2022,missing,
Harwich,2021,missing,
Hatfield,2021,discarded_not_results,https://www.townofhatfield.org/node/1/news
Hatfield,2022,discarded_not_results,https://www.townofhatfield.org/town-clerk/pages/annual-town-meeting-election-information
Hatfield,2023,discarded_not_results,https://www.townofhatfield.org/sites/g/files/vyhlif3246/f/news/unofficial_results_ate_5_16_23.pdf
Hatfield,2024,discarded_not_results,https://www.townofhatfield.org/town-clerk/pages/election-voting-info
Hatfield,2025,discarded_not_results,https://www.townofhatfield.org/home/news/final-results-annual-town-election-5202025
Hawley,2023,hosted,https://www.recorder.com/Lemoine-claims-assessor-seat-in-Hawley-election-50834403
Hawley,2025,discarded_not_results,https://townofhawley.com/mins-select-archive/
Heath,2021,discarded_not_results,https://townofheath.org/news/newsfile_9143_2021HeathAnnualReport-web.pdf
Heath,2022,discarded_not_results,https://townofheath.org/news/newsfile_11271_2024_HeathAnnualReport-print.pdf
Heath,2023,discarded_not_results,https://townofheath.org/n/9192/ANNUAL-TOWN-ELECTIONS-MAY-5
Heath,2024,discarded_not_results,https://townofheath.org/k/5/Town-Elections-Information
Heath,2025,hosted,https://townofheath.org/d/18632/Annual-Town-Election
Hinsdale,2021,discarded_not_results,https://www.hinsdalemass.com/where
Hinsdale,2022,discarded_not_results,https://www.hinsdalemass.com/home/files/2022-annual-election-results
Hinsdale,2024,discarded_not_results,https://www.hinsdalemass.com/sites/g/files/vyhlif7501/f/news/2024preselect.results.pdf
Hinsdale,2025,discarded_not_results,https://www.hinsdalemass.com/sites/g/files/vyhlif7501/f/news/annual_town_election_official2025_0.pdf
Holland,2022,missing,
Hopedale,2021,discarded_not_results,https://www.hopedale-ma.gov/sites/g/files/vyhlif711/f/uploads/annual_report_2021_final.pdf
Hopedale,2025,discarded_not_results,https://www.hopedale-ma.gov/town-clerk/minutes/2025-may-annual-town-election
Hopkinton,2021,missing,
Hopkinton,2023,discarded_not_results,https://ehop.org/2023/05/town-election-results-2023/
Hubbardston,2021,missing,
Huntington,2021,missing,
Huntington,2023,discarded_not_results,https://www.huntingtonma.us/media/581
Huntington,2024,discarded_not_results,https://www.huntingtonma.us/media/4136
Huntington,2025,hosted,https://www.huntingtonma.us/town-clerk/page/elections
Lanesborough,2021,oversized_deferred,https://cms5.revize.com/revize/lanesboroughma/Document%20Center/Government/Town%20Meeting/2021/2020_lanesboro_town_report_for_website.pdf
Lanesborough,2024,discarded_not_results,https://www.lanesborough-ma.gov/departments/clerk/elections/town_election_results.php
Lanesborough,2025,discarded_not_results,https://www.lanesborough-ma.gov/departments/clerk/elections/town_election_results.php
Lee,2023,discarded_not_results,https://theberkshireedge.com/stephan-green-75-of-west-stockbridge
Lee,2024,resource_exhausted,https://www.lee.ma.us/sites/g/files/vyhlif771/f/uploads/final_fy23_annual_report_printed.pdf
Lee,2025,resource_exhausted,https://www.lee.ma.us/home/news/town-election-results-2025
Lenox,2021,discarded_not_results,https://www.townoflenox.com/home/files/annual-report-2021
Lenox,2022,discarded_not_results,https://www.townoflenox.com/home/files/annual-town-report-2023
Lenox,2023,hosted,https://theberkshireedge.com/lenox-annual-town-election-results/
Lenox,2024,discarded_not_results,https://www.townoflenox.com/home/files/annual-town-report-2023
Lenox,2025,discarded_not_results,https://www.townoflenox.com/home/files/annual-town-report-2023
Leverett,2024,discarded_not_results,https://leverett.ma.us/n/12187/Leverett-Election-Results
Leverett,2025,discarded_not_results,https://leverett.ma.us/n/12187/Leverett-Election-Results
Leyden,2021,discarded_not_results,https://townofleyden.com/files/2012-06_Leyden_Life.pdf
Leyden,2022,discarded_not_results,https://www.townofleyden.com/f/0/1053/Town-Meetings-and-Elections
Ludlow,2021,oversized_deferred,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2021-Annual-Town-Report.pdf
Ludlow,2022,missing,
Mansfield,2021,missing,
Marion,2021,discarded_not_results,https://marionma.gov/DocumentCenter/View/393/State-Model-Tobacco-Sales-Regulations-2023-PDF
Marion,2022,missing,
Marion,2023,hosted,https://sippican.theweektoday.com/article/incumbents-mcsweeny-beauregard-mcgaffey-win-school-committee-seats-marion/63777
Mashpee,2022,hosted,https://www.capenews.net/mashpee/news/mashpees-special-election-ms-wyman-colombo-wins-seat-on-select-board/article_6bc37c07-95db-54b9-b96b-b796d8fd59e8.html
Mashpee,2023,discarded_not_results,https://records.mashpeema.gov/WebLink/0/doc/359370/Page23.aspx
Mendon,2021,discarded_not_results,https://www.mendonma.gov/FAQ.aspx
Mendon,2024,discarded_not_results,https://www.mendonma.gov/sitemap
Mendon,2025,discarded_not_results,https://www.mendonma.gov/sitemap
Middlefield,2021,missing,
Middlefield,2022,missing,
Middlefield,2025,discarded_not_results,https://www.middlefield-ma.com/
Millbury,2021,discarded_not_results,https://www.millburyma.gov/1422/Annual-Town-Elections
Millbury,2022,discarded_not_results,https://www.millburyma.gov/1422/Annual-Town-Elections
Millbury,2023,discarded_not_results,https://www.millburyma.gov/1422/Annual-Town-Elections
Millis,2021,discarded_not_results,https://www.millisma.gov/economic-development-committee
Millis,2025,discarded_not_results,https://www.millisma.gov/town-clerk/news/december-8-2025-special-town-election-results
Monroe,2021,missing,
Monroe,2022,missing,
Monroe,2023,missing,
Monroe,2024,missing,
Monroe,2025,missing,
Monterey,2021,oversized_deferred,https://www.montereyma.gov/sites/g/files/vyhlif3496/f/uploads/fy21townreport.pdf
Monterey,2022,discarded_not_results,https://www.montereyma.gov/town-clerk/files/may-9-2022-sample-town-election-ballot
Monterey,2025,discarded_not_results,https://www.montereyma.gov/town-clerk/files/may-6-2025-town-election-results
Montgomery,2022,missing,
Mount Washington,2021,discarded_not_results,https://mountwashington-ma.gov/departments/town-clerk/election-results
Mount Washington,2023,discarded_not_results,https://mountwashington-ma.gov/departments/town-clerk/election-results/
Mount Washington,2025,discarded_not_results,https://mountwashington-ma.gov/departments/town-clerk/election-results
Nantucket,2022,missing,
Nantucket,2023,hosted,https://nantucketcurrent.com/news/nantucket-election-results
Needham,2024,hosted,https://www.needhamma.gov/5315/2024-Annual-Town-ElectionTown-MeetingCal
New Ashford,2021,oversized_deferred,https://www.newashford-ma.us/wp-content/uploads/2021/05/New-Ashford-Annual-Town-Report-2021-2.pdf
New Ashford,2022,missing,
New Ashford,2023,discarded_not_results,https://www.newashford-ma.us/departments-and-committees/town-clerk/elections/
New Ashford,2025,discarded_not_results,https://www.newashford-ma.us/category/state/
New Braintree,2021,discarded_not_results,https://www.newbraintreema.us/index.asp?SEC=076A927A-DF4C-4C12-8761-576214AB65FB
New Braintree,2022,discarded_not_results,https://www.newbraintreema.us/?SEC=6C821174-D33C-4D39-AB77-DE267F98096F
New Braintree,2023,discarded_not_results,https://www.newbraintreema.us/elections
New Braintree,2024,discarded_not_results,https://www.newbraintreema.us/?SEC=6C821174-D33C-4D39-AB77-DE267F98096F
New Braintree,2025,discarded_not_results,https://www.newbraintreema.us/
Newbury,2023,discarded_not_results,https://www.townofnewbury.org/home/news/official-election-results-may-9-2023
Newbury,2025,discarded_not_results,https://www.townofnewbury.org/
New Marlborough,2021,discarded_not_results,https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/pages/results_of_ate_5.10.21.pdf
New Marlborough,2022,discarded_not_results,https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/pages/results_of_annual_town_election_5.9.22.pdf
New Marlborough,2024,discarded_not_results,https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/pages/official_results_of_annual_town_election_5.13.24_0.pdf
New Marlborough,2025,discarded_not_results,https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/pages/official_results_of_annual_town_election_5.12.25.pdf
New Salem,2021,missing,
New Salem,2023,missing,
New Salem,2024,discarded_not_results,https://www.newsalemma.org/node/626/events/upcoming
New Salem,2025,discarded_not_results,https://www.newsalemma.org/town-clerk/pages/election-results
Newton,2021,needs_md_html,https://www.newtonma.gov/government/elections/election-results/-folder-1809#docfold_5503_407_314_1809
Norfolk,2023,discarded_not_results,https://www.thesunchronicle.com/news/local_news/mecklenburg-returned-to-norfolk-select-board/
North Adams,2021,discarded_not_results,https://www.berkshireeagle.com/news/northern_berkshires/north-adams-elections-2021-see-the-full-results/article_209a4c90-3b6c-11ec-80a4-6f3a5fd16d30.html
North Adams,2023,hosted,https://www.berkshireeagle.com/news/northern_berkshires/jennifer-macksey-reelected-north-adams-mayor-voters-support-incumbents/article_47aca13a-7d90-11ee-a2df-0f61755d096a.html
North Adams,2025,hosted,https://www.northadams-ma.gov/government/departments_offices/city_clerk/2025_election_results.php
North Andover,2021,hosted,https://patch.com/massachusetts/northandover/north-andover-releases-unofficial-results-annual-town-election
North Andover,2022,hosted,https://patch.com/massachusetts/northandover/north-andover-2022-election-results-polls-closed
North Andover,2023,hosted,https://drive.google.com/file/d/14vvIypTB-ukMjs5reEByiR_bHmhxdBXg/view
North Andover,2025,hosted,https://drive.google.com/file/d/1uNctApcb2tWvnKnjD4wXoLaG4NDSbsPX/view
Northborough,2023,discarded_not_results,https://www.town.northborough.ma.us/sites/g/files/vyhlif3571/f/uploads/northborough_official_election_results_5-09-2023.pdf
Northbridge,2024,discarded_not_results,https://www.northbridgemass.org/sites/g/files/vyhlif981/f/uploads/final_results_0.pdf
Northbridge,2025,discarded_not_results,https://www.northbridgemass.org/sites/g/files/vyhlif981/f/uploads/results_2025.pdf
North Brookfield,2022,discarded_not_results,https://www.northbrookfield.net/board-selectmen/pages/town-meetings
North Brookfield,2023,discarded_not_results,https://www.northbrookfield.net/sites/g/files/vyhlif3576/f/uploads/minutes_for_ate_5_1_23.pdf
North Brookfield,2024,discarded_not_results,https://www.northbrookfield.net/board-selectmen/pages/town-meetings
North Brookfield,2025,discarded_not_results,https://www.northbrookfield.net/board-selectmen/pages/town-meetings
Norwell,2023,hosted,https://www.patriotledger.com/story/news/2023/05/23/norwell-ma-election-results-town-clerk-patricia-anderson/70242354007/
Oak Bluffs,2022,discarded_not_results,https://oakbluffsma.gov/DocumentCenter/View/6500/Covenants---Southern-Woodlands-2016
Oak Bluffs,2023,hosted,https://vineyardgazette.com/news/2023/04/13/dion-alley-thomas-hallahan-win-oak-bluffs-select-board-race
Oak Bluffs,2024,discarded_not_results,https://oakbluffsma.gov/166/Town-Clerk
Oakham,2021,discarded_not_results,https://www.oakham-ma.gov/390/Official-Town-Election-Results
Oakham,2022,discarded_not_results,https://www.oakham-ma.gov/390/Official-Town-Election-Results
Oakham,2023,discarded_not_results,https://www.oakham-ma.gov/390/Official-Town-Election-Results
Oakham,2024,discarded_not_results,https://www.oakham-ma.gov/390/Official-Town-Election-Results
Oakham,2025,discarded_not_results,https://www.oakham-ma.gov/390/Official-Town-Election-Results
Orange,2021,discarded_not_results,https://www.townoforange.org/
Orange,2023,hosted,https://www.atholdailynews.com/No-surprises-in-Orange-election-50189618
Palmer,2025,discarded_not_results,
Paxton,2024,discarded_not_results,https://www.townofpaxton.net/scenic-byway-committee?month=2024-11
Pelham,2021,missing,
Pelham,2022,missing,
Pelham,2023,missing,
Pelham,2024,missing,
Pelham,2025,missing,
Petersham,2021,missing,
Petersham,2022,missing,
Petersham,2023,missing,
Petersham,2024,missing,
Petersham,2025,missing,
Phillipston,2021,discarded_not_results,https://www.phillipston-ma.gov/town-clerk/news/2021-general-election-results
Phillipston,2022,discarded_not_results,https://www.phillipston-ma.gov/sites/g/files/vyhlif3676/f/news/phillipston_-final_atr_fy2025_budget_document_04-22-2024_1.pdf
Phillipston,2023,discarded_not_results,https://www.phillipston-ma.gov/sites/g/files/vyhlif3676/f/news/phillipston_-final_atr_fy2025_budget_document_04-22-2024_1.pdf
Phillipston,2024,hosted,https://atholdailynews.com/2024/05/21/gough-wins-seat-on-selectboard-in-phillipston-town-election-55234911/
Phillipston,2025,discarded_not_results,https://www.phillipston-ma.gov/home/news/annual-town-election-reminder
Pittsfield,2025,missing,
Plainfield,2023,hosted,https://plainfield-ma.us/n/11140/Results-of-May-6-2023-Election
Plainfield,2024,discarded_not_results,https://www.plainfield-ma.us/town-clerk/page/register-vote
Plympton,2022,discarded_not_results,https://www.town.plympton.ma.us/sites/g/files/vyhlif1091/f/uploads/plympton_tr_23_web_cc.pdf
Plympton,2023,discarded_not_results,https://www.town.plympton.ma.us/sites/g/files/vyhlif1091/f/uploads/unofficial_results_1.pdf
Plympton,2024,discarded_not_results,https://www.town.plympton.ma.us/home/news/town-of-plympton-unofficial-election-results-11524
Plympton,2025,discarded_not_results,https://www.town.plympton.ma.us/home/news/official-election-results-presidential-primary
Princeton,2021,discarded_not_results,https://www.town.princeton.ma.us/sites/g/files/vyhlif4891/f/uploads/2021_princeton_annual_town_report_final.pdf
Princeton,2022,discarded_not_results,https://www.town.princeton.ma.us/town-clerk/webforms/election-information
Raynham,2021,discarded_not_results,https://www.town.raynham.ma.us/town-clerk/news/unofficial-results-town-election-april-24-2021
Raynham,2022,discarded_not_results,https://www.raynham-ma.gov/DocumentCenter/View/5071/2022-Annual-Election-Results-Final-PDF
Richmond,2021,discarded_not_results,https://www.richmondma.org/2021%20Annual%20Town%20Report.pdf
Richmond,2024,discarded_not_results,https://www.townofrichmond-ma.gov/board-selectmen/files/richmond-election-results-may-20-2024
Richmond,2025,discarded_not_results,https://townofrichmond-ma.gov/town-clerk/files/richmond-annual-town-election-results-may-19-2025
Rochester,2022,discarded_not_results,https://www.townofrochestermass.com/town-clerk/news/unofficial-results-annual-town-election-may-22-2024
Rochester,2023,discarded_not_results,https://sippican.theweektoday.com/article/murphy-beats-hartley-other-seats-held-incumbents-rochester-election
Rochester,2024,discarded_not_results,https://www.townofrochestermass.com/town-clerk/news/unofficial-results-annual-town-election-may-22-2024
Rochester,2025,discarded_not_results,https://www.townofrochestermass.com/sites/g/files/vyhlif5446/f/news/copy_of_tally_sheet_-_18nov25_003.xlsx
Rockport,2021,missing,
Rowley,2021,hosted,https://www.townofrowley.net/election/pages/election-results
Rowley,2024,hosted,https://www.townofrowley.net/election/pages/election-results
Rowley,2025,hosted,https://www.townofrowley.net/election/pages/election-results
Russell,2021,discarded_not_results,https://www.townofrussell.us/sites/g/files/vyhlif7626/f/news/fy2025_russell_town_report.pdf
Russell,2022,discarded_not_results,https://www.townofrussell.us/sites/g/files/vyhlif7626/f/news/fy2025_russell_town_report.pdf
Russell,2024,discarded_not_results,https://www.russell-ma.gov/home/news/unofficial-results-annual-town-election
Russell,2025,discarded_not_results,https://www.russell-ma.gov/sites/g/files/vyhlif5871/f/uploads/2025_ate_official_results_final.pdf
Rutland,2021,missing,
Rutland,2022,missing,
Rutland,2023,missing,
Rutland,2025,discarded_not_results,https://www.rutland-ma.gov/sites/g/files/vyhlif5676/f/uploads/2025_election_official_results.pdf
Salisbury,2025,discarded_not_results,https://www.salisburyma.gov/town-clerk/pages/election-results
Sandisfield,2025,discarded_not_results,
Saugus,2024,missing,
Savoy,2021,discarded_not_results,https://www.savoy-ma.gov/sites/g/files/vyhlif6856/f/uploads/2021_annual_town_report.pdf
Savoy,2022,discarded_not_results,https://www.savoy-ma.gov/sites/g/files/vyhlif6856/f/uploads/2022_annual_town_report.pdf
Savoy,2023,discarded_not_results,https://www.savoy-ma.gov/sites/g/files/vyhlif6856/f/uploads/2023_official_election_results.pdf
Savoy,2024,discarded_not_results,
Savoy,2025,discarded_not_results,
Scituate,2023,discarded_not_results,https://www.scituatema.gov/sites/g/files/vyhlif3781/f/pages/amended_official_town_election_results_5-20-23.pdf
Shelburne,2021,discarded_not_results,https://www.shelburne-ma.gov/town-clerk/files/2021-annual-town-election-official-results
Shelburne,2024,discarded_not_results,https://www.shelburne-ma.gov/town-clerk/files/2024-annual-town-election-official-results
Shelburne,2025,discarded_not_results,https://www.shelburne-ma.gov/sites/g/files/vyhlif5626/f/uploads/2025_election_results.pdf
Shutesbury,2021,missing,
Shutesbury,2022,oversized_deferred,https://shutesbury.org/sites/default/files/FY25%20Annual%20Town%20Report_post.pdf
Somerset,2023,hosted,https://www.heraldnews.com/story/news/politics/elections/2023/04/11/somerset-swansea-elections-newcomer-joining-school-committee-in-somerset/70103082007/
Southampton,2021,oversized_deferred,https://resources.finalsite.net/images/v1687279176/townofsouthamptonorg/cbntvlwbnwhtg9qi5l7w/TownofSouthampton2021AnnualTownReportFinal.pdf
Southampton,2022,discarded_not_results,https://www.southampton-ma.gov/DocumentCenter/View/2245/2022-Annual-Town-Election-Results-PDF
Southampton,2023,discarded_not_results,https://www.southampton-ma.gov/DocumentCenter/View/2700/2023-Annual-Town-Election-Results-PDF
